line_qual,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Prof#
0,0.031381,159.349,4.1419999999999995,,,,,,,,,87.905,62.06399999999999,-126.681,655
0,0.027694,158.534,5.086,,,,,,,,,88.971,62.102,-126.62,655
0,0.02444,157.81,5.879,,,,,,,,,90.03299999999999,62.141000000000005,-126.559,655
0,0.021568,157.166,6.564,,,,,,,,,91.09200000000001,62.18,-126.49799999999999,655
0,0.019034,156.60299999999998,7.206,,,,,,,,,92.147,62.218999999999994,-126.436,655
0,0.016797,,,,,,,,,,,93.199,62.257,-126.375,655
0,0.014824,,,,,,,,,,,94.249,62.29600000000001,-126.31299999999999,655
0,0.013082,,,,,,,,,,,95.296,62.333999999999996,-126.251,655
0,0.011545,,,,,,,,,,,96.34200000000001,62.373000000000005,-126.189,655
0,0.010188,,,,,,,,,,,97.38799999999999,62.412,-126.12700000000001,655
0,0.0089909,,,,,,,,,,,98.43299999999999,62.45,-126.064,655
0,0.0079345,,,,,,,,,,,99.478,62.489,-126.001,655
0,0.0070021,,,,,,,,,,,100.522,62.528,-125.93799999999999,655
0,0.0061794,,,,,,,,,,,101.56700000000001,62.567,-125.875,655
0,0.0054533,,,,,,,,,,,102.61200000000001,62.606,-125.811,655
0,0.0048125,,,,,,,,,,,103.65700000000001,62.645,-125.74700000000001,655
0,0.004247,,,,,,,,,,,104.70200000000001,62.684,-125.682,655
0,1878.9,,,,,,,,,,,,,,1403
0,1658.2,,,,,,,,,,,,,,1403
0,1463.3,,,,,,,,,,,,,,1403
0,1291.4,,,,,,,,,,,,,,1403
0,1139.6,,,,,,,,,,,,,,1403
0,1005.7,,,,,,,,,,,,,,1403
0,887.54,,,,,,,,,,,,,,1403
0,783.26,,,,,,,,,,,0.637,57.004,125.473,1403
0,691.22,,,,,,,,,,,1.982,57.045,125.53200000000001,1403
0,610.0,,,,,,,,,,,3.32,57.086000000000006,125.59100000000001,1403
0,538.32,,,,,,,,,,,4.645,57.126000000000005,125.65,1403
0,475.07,,,,,,,,,,,5.952999999999999,57.165,125.708,1403
0,419.25,,,,,,,,,,,7.246,57.205,125.766,1403
0,369.98,,,,,,,,,,,8.521,57.243,125.824,1403
0,326.51,,,,,,,,,,,9.779,57.282,125.88,1403
0,288.14,,,,,,,,,,,11.023,57.32,125.93700000000001,1403
0,254.29,,,,,,,,,,,12.255,57.357,125.993,1403
0,224.41,,,,,,,,,,,13.475999999999999,57.394,126.04799999999999,1403
0,198.04,,,,,,,,,,,14.686,57.431999999999995,126.104,1403
0,174.77,,,,,,,,,,,15.887,57.468,126.15899999999999,1403
0,154.23,,,,,,,,,,,17.078,57.505,126.214,1403
0,136.11,,,,,,,,,,,18.259,57.541000000000004,126.26899999999999,1403
0,120.12,180.685,1.705,0.0008944,6.2664e-05,,,0.00051801,0.00010109,,,19.429000000000002,57.577,126.323,1403
0,106.0,178.735,0.595,0.0016255,7.34e-05,,,0.00031738,5.4245e-05,,,20.588,57.613,126.37799999999999,1403
0,93.54700000000001,176.58700000000002,0.298,0.0023035,7.8278e-05,,,0.0001579,2.3513000000000003e-05,,,21.734,57.648,126.431,1403
0,82.555,174.22799999999998,0.22399999999999998,0.0021476999999999998,8.0592e-05,,,9.9378e-05,1.6982e-05,,,22.866,57.683,126.485,1403
0,72.854,171.68099999999998,0.25,0.0012323,8.3115e-05,,,9.207e-05,3.1466e-05,,,23.983,57.718,126.538,1403
0,64.294,169.063,0.337,0.00038661,7.9282e-05,,,0.00017992,9.9495e-05,,,25.085,57.751999999999995,126.59,1403
